"id","account_id/id","date","name","journal_id/id","move_id/id","period_id/id"
"__export__.account_move_line_338","__export__.account_account_134","2015-09-16","34961 - Projet OFEN Energie","__export__.account_journal_5","236","__export__.account_period_10"
"__export__.account_move_line_337","__export__.account_account_134","2015-09-16","34961 - Projet OFEN Energie","__export__.account_journal_5","236","__export__.account_period_10"
"__export__.account_move_line_336","__export__.account_account_179","2015-09-16","34961 - Projet OFEN Energie","__export__.account_journal_5","236","__export__.account_period_10"
"__export__.account_move_line_335","__export__.account_account_179","2015-09-16","34961 - Projet OFEN Energie","__export__.account_journal_5","236","__export__.account_period_10"
"__export__.account_move_line_592","__export__.account_account_134","2015-09-01","Prospection de mandats","__export__.account_journal_5","1428","__export__.account_period_10"
"__export__.account_move_line_591","__export__.account_account_220","2015-09-01","Prospection de mandats","__export__.account_journal_5","1428","__export__.account_period_10"
"__export__.account_move_line_590","__export__.account_account_134","2015-09-01","36341-Développement projet CTI SICS","__export__.account_journal_5","1426","__export__.account_period_10"
"__export__.account_move_line_589","__export__.account_account_220","2015-09-01","36341-Développement projet CTI SICS","__export__.account_journal_5","1426","__export__.account_period_10"
"__export__.account_move_line_588","__export__.account_account_134","2015-09-01","39477-Développement projet CTI Infonomics","__export__.account_journal_5","1425","__export__.account_period_10"
"__export__.account_move_line_587","__export__.account_account_220","2015-09-01","39477-Développement projet CTI Infonomics","__export__.account_journal_5","1425","__export__.account_period_10"
"__export__.account_move_line_586","__export__.account_account_134","2015-09-01","REGSI","__export__.account_journal_5","1380","__export__.account_period_10"
"__export__.account_move_line_585","__export__.account_account_219","2015-09-01","REGSI","__export__.account_journal_5","1380","__export__.account_period_10"
"__export__.account_move_line_584","__export__.account_account_134","2015-09-01","RCSO Transdem","__export__.account_journal_5","1379","__export__.account_period_10"
"__export__.account_move_line_583","__export__.account_account_219","2015-09-01","RCSO Transdem","__export__.account_journal_5","1379","__export__.account_period_10"
"__export__.account_move_line_582","__export__.account_account_134","2015-09-01","Mandat sensi SSI LORO","__export__.account_journal_5","1378","__export__.account_period_10"
"__export__.account_move_line_581","__export__.account_account_219","2015-09-01","Mandat sensi SSI LORO","__export__.account_journal_5","1378","__export__.account_period_10"
"__export__.account_move_line_580","__export__.account_account_134","2015-09-01","projet Européen OI-Net","__export__.account_journal_5","1376","__export__.account_period_10"
"__export__.account_move_line_579","__export__.account_account_219","2015-09-01","projet Européen OI-Net","__export__.account_journal_5","1376","__export__.account_period_10"
"__export__.account_move_line_578","__export__.account_account_134","2015-09-01","Montage GIVEN","__export__.account_journal_5","1374","__export__.account_period_10"
"__export__.account_move_line_577","__export__.account_account_219","2015-09-01","Montage GIVEN","__export__.account_journal_5","1374","__export__.account_period_10"
"__export__.account_move_line_576","__export__.account_account_134","2015-09-01","Hermes Coordination pédagogique","__export__.account_journal_5","1371","__export__.account_period_10"
"__export__.account_move_line_575","__export__.account_account_219","2015-09-01","Hermes Coordination pédagogique","__export__.account_journal_5","1371","__export__.account_period_10"
"__export__.account_move_line_574","__export__.account_account_134","2015-09-01","S2 diet compta 12h*2.2","__export__.account_journal_5","1370","__export__.account_period_10"
