Date;N° HESSO;Date de début;Date de fin;Libellé;Statut
2005-04-06;11249;2000-08-01;2003-08-31;Décontamination des sites pollués;AC
2006-04-27;11259;2003-06-01;2004-09-30;Réduire le bruit accroît la valeur immobilière !;AC
2005-12-08;11260;2002-05-01;2002-12-31;Centre d'entraînement au management comportemental;AC
2007-02-15;11565;2002-05-03;2005-08-31;Désinfection de solutions nutritives provenant de cultures hors sol;AC
2004-09-28;11630;2002-12-01;2003-10-31;CERNER LA TENDANCE, ETUDE D'OPPORTUNITE;AC
2008-02-22;11779;2003-08-04;2006-02-28;Architecture-based software reengineering;AC
2005-08-02;11792;2002-12-02;2004-12-31;Intégrité d'objets persistants JAVA;AC
2005-09-14;11808;2003-10-23;2004-05-31;Matériauthèque Préalable théorique;AC
2007-02-15;11818;2003-06-16;2005-11-30;Les arbres en milieu urbain ;AC
2004-05-10;11825;2000-01-01;2000-12-31;Développement d'un logiciel didactique de calcul des éléments de machines;AC
2006-02-12;11826;2002-06-01;2004-08-30;Désinfection de solutions nutritives provrenant de cultures hors sol;AC
2004-01-09;11829;2004-03-01;2005-05-31;Etude comparative de communautés microbiennes intervenant dans le processus biologique des stations d'épuration.;RF
2006-11-07;11830;2003-05-01;2005-03-31;Morphologie mathématique sur FPGA;AC
2009-12-10;11845;2003-06-30;2004-12-31;APPROCHE INTERDISCIPLINAIRE POUR LA CREATION D'UN GENERATEUR D'INTERFACE DE PROTOTYPES ECRAN (AGPE);AC
2003-09-03;11846;2001-07-01;2002-09-30;System on chip (SOC);AC
2004-04-20;11848;2004-04-01;2005-06-30;Système d'Evaluation, de Notification, de Suivi et d'Aide à la Surveillance;RF
2006-08-24;11849;2003-10-01;2004-12-31;Web Security & Honeynet;AC
2003-11-04;11851;2004-01-05;2004-10-29;Modulation UWB;RF
2006-11-07;11852;2004-03-15;2006-03-31;Développement d'une plate-forme de base dédiée à l'étude et au développement d'applications temps réel réparties;AC
2004-05-19;11854;2003-11-10;2004-11-05;VERITABLE VIDEO A LA DEMANDE : PATCHING;RF
2005-03-21;11855;2003-06-11;2003-09-30;Etude pour service de l'Eau des SIG ;AC
2003-12-01;11859;2003-09-01;2004-10-31;Analyse de signaux électromyographiques pour le contrôle d'une orthèse pour myopathes;RF
2007-02-15;11860;2004-03-15;2005-09-15;Antivitrifiant et propagation des plantes horticoles en bioréacteur;AC
2007-04-26;11863;2003-07-01;2006-09-30;Mesure de la ténacité à 20K dans de l'acier inoxydable 316LN modifié;AC
2006-11-10;11869;2004-04-01;2006-04-30;Conception d'une méthodologie intégrée d'analyse et d'organisation des systèmes bancaires (B-DESIGN);AC
2007-09-24;11881;2004-01-01;2005-12-30;Régulateur a tension de sortie basse pour systèmes embarqués;AC
2005-04-28;11884;2002-07-01;2003-12-31;PROETHOS: élaboration et pilotage d'un processus de management de l'éthique en entreprise;AC
2007-06-18;11886;2002-04-01;2003-09-30;La vague EAI;AC
2006-01-17;11889;2003-04-01;2005-12-31;XML signature digitale;AC
2006-01-20;11891;2003-06-01;2004-03-31;Interopérabilité de bases de données hétérogènes;AC
2006-05-18;11894;2000-11-01;2005-12-31;DIFUSE Développement des bases de dimensionnement de digues submersibles et fusibles;AC
2006-10-13;11897;2003-03-01;2005-12-31;Web Sémantique;AC
2004-12-03;11898;2003-01-01;2003-12-31;Développement de nouveaux agents antiSIDA 2 ème phase;AC
2003-11-04;11904;2001-01-01;2002-05-31;Carte étudiant HES-SO - Coupleur et transmission sécurisée pour contrôle d'accès;AC
2006-10-30;11905;2003-12-01;2006-09-30;Les déterninants du choix de (dé-)localisation des entreprises en Suisse;AC
2005-02-07;11911;2002-05-01;2003-06-30;Analyse des facteurs de succès des start-up;AC
2003-10-01;11914;2003-10-01;2005-09-30;Méthodologies d'analyse et de mise en oeuvre pour la conception assistée de la manutention et de l'assemblage automatisés;RF
2007-05-22;11917;2004-06-01;2006-10-31;Identité digitale fédérée;AC
2006-11-07;11921;2003-09-01;2005-07-31;Les arbres en milieu urbain ;AC
2007-02-20;11926;2004-02-02;2006-06-30;Architectures de Gestion de la Connaissance;AC
2006-10-03;11927;2004-01-01;2006-06-30;eXtremeDocComponent - Gérer la Connaissance grace à un Documentation de Projets Intelligente;AC
2003-10-23;11931;2003-11-01;2004-12-30;Carte à puce universelle;RF
2004-09-16;11932;2005-03-01;2006-09-30;Intégration d'annuaires;RF
2006-06-20;11936;2003-10-01;2005-06-30;Intégration de la sécurité dans les infrastructures techniques et stratégiques des PME-PMI;AC
