"id","code","name"
"__export__.account_account_1","0","Your Company"
"__export__.account_account_2","B","BILAN"
"__export__.account_account_3","1","ACTIF"
"__export__.account_account_4","10","ACTIF CIRCULANT"
"__export__.account_account_5","100","Trésorerie"
"__export__.account_account_6","1000","Caisse"
"__export__.account_account_7","1020","Banque"
"__export__.account_account_170","10201","Liquidités"
"__export__.account_account_171","10202","Banque"
"__export__.account_account_8","1021","Banque EUR"
"__export__.account_account_9","106","Actifs à court terme cotés en bourse"
"__export__.account_account_10","1060","Titres"
"__export__.account_account_11","1069","Ajustement de la valeur des titres"
"__export__.account_account_12","110","Créances résultant de livraisons et prestations"
"__export__.account_account_13","1100","Débiteurs"
"__export__.account_account_14","1109","Ducroire"
"__export__.account_account_15","114","Autres créances à court terme"
"__export__.account_account_16","1140","Avances et prêts"
"__export__.account_account_17","1149","Ajustement de la valeur des avances et des prêts"
"__export__.account_account_18","1170","Impôt préalable: TVA s/matériel, marchandises, prestations et énergie"
"__export__.account_account_19","1171","Impôt préalable: TVA s/investissements et autres charges d’exploitation"
"__export__.account_account_20","1176","Impôt anticipé"
"__export__.account_account_21","1180","Créances envers les assurances sociales et institutions de prévoyance"
"__export__.account_account_22","1189","Impôt à la source"
"__export__.account_account_23","1190","Autres créances à court terme"
"__export__.account_account_24","1199","Ajustement de la valeur des créances à court terme"
"__export__.account_account_25","120","Stocks et prestations non facturées"
"__export__.account_account_26","1200","Marchandises commerciales"
"__export__.account_account_27","1210","Matières premières"
"__export__.account_account_28","1220","Matières auxiliaires"
"__export__.account_account_29","1230","Matières consommables"
"__export__.account_account_30","1250","Marchandises en consignation"
"__export__.account_account_31","1260","Stocks de produits finis"
"__export__.account_account_32","1270","Travaux en cours"
"__export__.account_account_33","1280","Prestations de services non facturées"
"__export__.account_account_34","130","Actifs de régularisation (transitoires)"
"__export__.account_account_35","1300","Charges payées d‘avance"
"__export__.account_account_36","1301","Produits à recevoir"
"__export__.account_account_37","14","ACTIF IMMOBILISE"
"__export__.account_account_38","140","Immobilisations financières"
"__export__.account_account_39","1400","Titres à long terme"
"__export__.account_account_40","1409","Ajustement de la valeur des titres"
"__export__.account_account_41","1440","Prêts"
"__export__.account_account_42","1441","Hypothèques"
"__export__.account_account_43","1449","Ajustement de la valeur des créances à long terme"
"__export__.account_account_44","148","Participations"
"__export__.account_account_45","1480","Participations"
"__export__.account_account_46","1489","Ajustement de la valeur des participations"
"__export__.account_account_47","150","Immobilisations corporelles meubles"
"__export__.account_account_48","1500","Machines et appareils"
"__export__.account_account_49","1509","Ajustement de la valeur des machines et appareils"
"__export__.account_account_50","1510","Mobilier et installations"
"__export__.account_account_51","1519","Ajustement de la valeur du mobilier et des installations"
"__export__.account_account_52","1520","Machines de bureau, informatique, systèmes de communication"
"__export__.account_account_53","1529","Ajustement de la valeur des machines de bureau, inf. et syst. comm."
"__export__.account_account_54","1530","Véhicules"
"__export__.account_account_55","1539","Ajustement de la valeur des véhicules"
"__export__.account_account_56","1540","Outillages et appareils"
"__export__.account_account_57","1549","Ajustement de la valeur des outillages et appareils"
"__export__.account_account_58","160","Immobilisations corporelles immeubles"
"__export__.account_account_59","1600","Immeubles d’exploitation"
"__export__.account_account_60","1609","Ajustement de la valeur des immeubles d’exploitation"
"__export__.account_account_61","170","Immobilisations incorporelles"
"__export__.account_account_62","1700","Brevets, know-how, licences, droits, développement"
"__export__.account_account_63","1709","Ajustement de la valeur des brevets, know-how, licences, droits, dév."
"__export__.account_account_64","1770","Goodwill"
"__export__.account_account_65","1779","Ajustement de la valeur des goodwill"
"__export__.account_account_66","180","Capital non versé : capital social, capital de fondation"
"__export__.account_account_67","1850","Capital actions, capital social, droits de participations ou capital de fondation non versés"
"__export__.account_account_68","2","PASSIF"
"__export__.account_account_69","20","DETTE A COURT TERME"
"__export__.account_account_70","200","Dettes à court terme résultant d’achats et de prestations de services"
"__export__.account_account_71","2000","Créanciers"
"__export__.account_account_72","2030","Acomptes de clients"
"__export__.account_account_73","210","Dettes à court terme rémunérés"
"__export__.account_account_74","2100","Dettes bancaires"
"__export__.account_account_75","2120","Engagements de financement par leasing"
"__export__.account_account_76","2140","Autres dettes à court terme rémunérées"
"__export__.account_account_77","220","Autres dettes à court terme"
"__export__.account_account_78","2200","TVA due"
"__export__.account_account_79","2201","Décompte TVA"
"__export__.account_account_80","2206","Impôt anticipé dû"
"__export__.account_account_81","2208","Impôts directs"
"__export__.account_account_82","2210","Autres dettes à court terme"
"__export__.account_account_83","2261","Dividendes"
"__export__.account_account_84","2270","Assurances sociales et institutions de prévoyance"
"__export__.account_account_85","2279","Impôt à la source"
"__export__.account_account_86","230","Passifs de régularisation (transitoires) et provisions à court terme"
"__export__.account_account_87","2300","Charges à payer"
"__export__.account_account_88","2301","Produits encaissés d’avance"
"__export__.account_account_89","2330","Provisions à court terme"
"__export__.account_account_90","24","DETTE A LONG TERME"
"__export__.account_account_91","240","Dettes à long terme rémunérées"
"__export__.account_account_92","2400","Dettes bancaires"
"__export__.account_account_93","2420","Engagements de financement par leasing"
"__export__.account_account_94","2430","Emprunts obligataires"
"__export__.account_account_95","2450","Emprunts"
"__export__.account_account_96","2451","Hypothèques"
"__export__.account_account_97","250","Autres dettes à long terme"
"__export__.account_account_98","2500","Autres dettes à long terme"
"__export__.account_account_99","260","Provisions à long termes et provisions légales"
"__export__.account_account_100","2600","Provisions"
"__export__.account_account_101","28","CAPITAUX PROPRES"
"__export__.account_account_102","280","Capital social ou capital de fondation"
"__export__.account_account_103","2800","Capital-actions, capital social, capital de fondation"
"__export__.account_account_104","290","Réserves / bénéfices et pertes"
"__export__.account_account_105","2900","Réserves légales issues du capital"
"__export__.account_account_106","2940","Réserves d‘évaluation"
"__export__.account_account_107","2950","Réserves légales issues du bénéfice"
"__export__.account_account_108","2960","Réserves libres"
"__export__.account_account_109","2970","Bénéfice / perte reporté"
"__export__.account_account_110","2979","Bénéfice / perte de l’exercice"
"__export__.account_account_111","2980","Propres actions, parts sociales, droits de participations (poste négatif)"
